frame,xmin,xmax,ymin,ymax,class_id
0001.jpg,184,238,48,64,1
0001.jpg,185,235,66,79,1
0002.jpg,45,72,189,210,1
0002.jpg,20,79,197,245,2
0003.jpg,95,140,103,146,1
0003.jpg,89,128,122,161,1
0004.jpg,284,299,2,24,1
0006.jpg,229,295,76,128,1
0007.jpg,265,290,82,141,1
0008.jpg,272,299,187,222,1
0008.jpg,261,299,201,247,1
0009.jpg,1,41,193,241,1
0009.jpg,1,31,218,259,1
0009.jpg,54,78,238,299,1
0010.jpg,54,102,17,43,1
0010.jpg,58,106,28,62,1
0010.jpg,57,151,76,141,2
0010.jpg,1,56,58,93,2
0010.jpg,108,130,31,62,2
0011.jpg,150,198,131,157,1
0011.jpg,151,199,149,170,1
0013.jpg,79,127,164,218,1
0014.jpg,51,121,15,42,1
0014.jpg,51,118,34,59,1
0015.jpg,69,130,124,149,1
0015.jpg,109,160,166,208,1
0015.jpg,99,149,181,221,1
0016.jpg,161,196,187,229,1
0016.jpg,169,208,184,223,1
0017.jpg,83,165,177,233,1
0017.jpg,93,182,196,252,1
0018.jpg,60,118,159,201,1
0019.jpg,23,71,66,146,1
0019.jpg,44,89,60,137,1
0020.jpg,26,70,103,174,1
0021.jpg,113,148,1,73,1
0021.jpg,155,198,46,115,1
0022.jpg,193,224,18,37,1
0023.jpg,209,244,59,109,1
0023.jpg,224,259,52,100,1
0024.jpg,242,281,154,186,1
0024.jpg,242,285,145,178,1
0024.jpg,249,290,141,173,1
0024.jpg,252,293,133,167,1
0024.jpg,270,299,122,147,1
0024.jpg,276,299,117,141,1
0024.jpg,280,299,112,131,1
0024.jpg,290,299,108,120,1
0025.jpg,1,36,105,134,1
0025.jpg,23,40,132,148,1
0025.jpg,30,46,137,151,1
0025.jpg,1,29,110,135,1
0025.jpg,1,20,122,144,1
0025.jpg,1,18,131,150,1
0025.jpg,1,10,141,153,1
0026.jpg,62,103,114,165,1
0026.jpg,264,287,135,197,1
0027.jpg,13,53,227,294,1
0027.jpg,1,33,234,297,1
0028.jpg,72,117,231,291,1
0028.jpg,1,42,21,53,1
0029.jpg,123,148,167,191,1
0029.jpg,145,168,190,213,1
0029.jpg,156,182,192,218,1
0029.jpg,169,193,197,221,1
0029.jpg,184,231,206,242,1
0029.jpg,187,217,200,216,1
0030.jpg,138,172,198,233,1
0030.jpg,126,160,203,240,1
0030.jpg,166,201,234,269,1
0030.jpg,153,189,240,281,1
0032.jpg,156,204,139,171,2
0033.jpg,141,182,39,79,1
0033.jpg,153,202,16,54,1
0033.jpg,164,215,6,46,1
0033.jpg,126,180,247,286,1
0033.jpg,173,186,283,299,1
0034.jpg,119,178,204,247,1
0034.jpg,166,227,235,268,1
0035.jpg,162,176,37,82,1
0035.jpg,200,208,42,83,1
0035.jpg,173,182,37,85,1
0035.jpg,180,193,37,85,1
0035.jpg,191,201,39,84,1
0036.jpg,14,80,63,126,1
0036.jpg,18,75,90,142,1
0037.jpg,192,242,52,101,1
0037.jpg,210,253,50,90,1
0039.jpg,34,81,151,182,1
0039.jpg,32,77,165,194,1
0040.jpg,221,251,114,134,1
0040.jpg,224,255,125,146,1
0040.jpg,256,269,103,135,1
0041.jpg,27,59,262,289,1
0041.jpg,39,68,266,293,1
0042.jpg,70,81,109,146,1
0042.jpg,78,88,105,132,1
0042.jpg,80,114,100,162,2
0042.jpg,217,240,98,120,1
0042.jpg,185,214,99,132,1
0042.jpg,212,232,111,129,1
0042.jpg,238,256,118,142,1
0042.jpg,25,52,246,284,2
0043.jpg,150,167,87,128,1
0043.jpg,156,177,89,129,1
0043.jpg,163,185,90,130,1
0043.jpg,172,191,93,134,1
0043.jpg,179,199,95,138,1
0043.jpg,186,210,94,136,1
0043.jpg,193,217,96,136,1
0043.jpg,201,223,98,137,1
0043.jpg,210,228,101,139,1
0043.jpg,216,235,104,143,1
0043.jpg,230,261,110,144,1
0043.jpg,235,266,105,141,1
0045.jpg,246,266,180,231,1
0045.jpg,187,234,231,250,1
0046.jpg,254,279,41,98,1
0046.jpg,236,274,104,156,1
0046.jpg,236,252,79,103,1
0047.jpg,6,36,74,97,1
0047.jpg,4,31,88,113,1
0047.jpg,36,64,82,107,1
0047.jpg,27,60,98,124,1
0048.jpg,183,241,83,120,1
0050.jpg,140,164,61,111,1
0050.jpg,230,275,144,176,1
0050.jpg,66,93,18,70,1
0050.jpg,13,30,5,32,1
0050.jpg,1,15,4,33,1
0050.jpg,224,258,131,160,1
0051.jpg,126,164,164,190,1
0051.jpg,159,216,149,186,1
0051.jpg,243,260,150,165,1
0052.jpg,109,163,40,80,1
0052.jpg,104,160,63,101,1
0053.jpg,183,230,168,193,1
0053.jpg,196,218,238,264,1
0053.jpg,176,215,219,253,2
0055.jpg,200,249,203,236,1
0055.jpg,203,256,216,248,1
